transaction_id,customer_id,customer_name,amount,currency,payment_method,transaction_date,payment_status,failure_reason,customer_history,retry_count,customer_segment,recovered_after_retry,merchant_category,city,device_type
TXN01221,CUST0173,Siddharth Gupta,1825.23,INR,Credit Card,2026-03-07 16:48:01,Failed,Insufficient Funds,New Customer,1,New,1.0,E-commerce,Hyderabad,Mobile App
TXN00815,CUST0082,Swati Patel,199.03,INR,Credit Card,2026-03-08 01:45:46,Failed,Bank Server Issue,Occasional Buyer,2,New,1.0,Ride-Hailing,Bengaluru,Mobile App
TXN00700,CUST0058,Preeti Malhotra,1309.21,INR,UPI,2026-03-08 12:33:29,Success,,Regular Customer,0,Regular,,E-commerce,Kolkata,Mobile App
TXN00040,CUST0312,Anjali Malhotra,2174.83,INR,UPI,2026-03-09 06:53:05,Failed,Network Failure,New Customer,1,Regular,0.0,SaaS Subscription,Chennai,Desktop Web
TXN00787,CUST0191,Ayesha Verma,271.39,INR,Wallet,2026-03-09 09:58:21,Failed,Authentication Failure,New Customer,1,New,1.0,Food Delivery,Delhi,Mobile Web
TXN01413,CUST0203,Shreya Bose,3462.89,INR,UPI,2026-03-09 10:00:29,Failed,Insufficient Funds,Loyal Customer,1,Regular,0.0,E-commerce,Ahmedabad,Mobile App
TXN00127,CUST0172,Varun Pandey,2895.81,INR,UPI,2026-03-10 06:53:26,Success,,Regular Customer,0,Regular,,SaaS Subscription,Mumbai,Desktop Web
TXN00438,CUST0415,Ishita Pandey,2268.61,INR,Debit Card,2026-03-10 07:56:00,Success,,Occasional Buyer,0,Regular,,E-commerce,Bengaluru,Mobile App
TXN01496,CUST0315,Sunita Khan,1731.45,INR,UPI,2026-03-10 19:45:41,Success,,Regular Customer,0,Regular,,SaaS Subscription,Delhi,Desktop Web
TXN00966,CUST0149,Riya Singh,793.71,INR,Debit Card,2026-03-10 21:21:48,Failed,Card Declined,Regular Customer,0,Premium,1.0,Food Delivery,Delhi,Mobile App
TXN00847,CUST0252,Shreya Verma,946.11,INR,Netbanking,2026-03-10 23:50:39,Failed,Network Failure,Regular Customer,1,Regular,0.0,Food Delivery,Mumbai,Desktop Web
TXN01233,CUST0066,Riya Pillai,402.7,INR,Credit Card,2026-03-11 00:04:40,Success,,Occasional Buyer,0,Regular,,Ride-Hailing,Pune,Mobile App
TXN01337,CUST0321,Ayesha Kapoor,2047.69,INR,Debit Card,2026-03-11 00:07:05,Failed,Insufficient Funds,Occasional Buyer,1,Premium,1.0,E-commerce,Chennai,Mobile App
TXN00560,CUST0135,Swati Sharma,11621.26,INR,Netbanking,2026-03-11 00:37:37,Success,,Regular Customer,0,Regular,,Travel & Hotels,Kolkata,Mobile App
TXN01231,CUST0191,Ayesha Verma,2097.16,INR,UPI,2026-03-11 01:29:41,Success,,New Customer,0,New,,E-commerce,Delhi,Desktop Web
TXN01309,CUST0028,Geeta Fernandes,566.79,INR,Credit Card,2026-03-11 12:21:59,Success,,Regular Customer,0,Regular,,Food Delivery,Kolkata,Mobile App
TXN00954,CUST0367,Rohan Fernandes,637.68,INR,Debit Card,2026-03-11 18:12:55,Success,,Regular Customer,0,Regular,,Food Delivery,Bengaluru,Mobile App
TXN00634,CUST0296,Karthik Reddy,689.36,INR,UPI,2026-03-11 18:33:42,Success,,Regular Customer,0,Premium,,Food Delivery,Jaipur,Mobile Web
TXN00711,CUST0335,Geeta Agarwal,213.34,INR,UPI,2026-03-12 03:52:05,Failed,Card Declined,Regular Customer,2,Regular,1.0,Ride-Hailing,Delhi,Mobile App
TXN00471,CUST0005,Anjali Verma,4696.83,INR,UPI,2026-03-12 14:09:46,Success,,Loyal Customer,0,Premium,,E-commerce,Lucknow,Mobile Web
TXN01038,CUST0164,Simran Verma,886.85,INR,Debit Card,2026-03-12 16:09:17,Success,,Occasional Buyer,0,Regular,,E-commerce,Chennai,Mobile App
TXN00269,CUST0385,Zoya Gupta,2046.46,INR,UPI,2026-03-12 18:21:30,Failed,Bank Server Issue,Regular Customer,3,Regular,1.0,SaaS Subscription,Mumbai,Mobile App
TXN00365,CUST0316,Geeta Khan,791.86,INR,Credit Card,2026-03-12 18:41:27,Success,,Occasional Buyer,0,New,,E-commerce,Chennai,Mobile App
TXN00296,CUST0387,Deepak Menon,3523.26,INR,UPI,2026-03-13 02:39:18,Success,,Occasional Buyer,0,Regular,,E-commerce,Kolkata,Mobile App
TXN00386,CUST0193,Rohan Malhotra,961.7,INR,Credit Card,2026-03-13 09:07:01,Failed,Authentication Failure,New Customer,3,New,1.0,SaaS Subscription,Pune,Mobile App
TXN00136,CUST0177,Geeta Rao,3612.54,INR,UPI,2026-03-13 09:52:43,Success,,Occasional Buyer,0,Regular,,Travel & Hotels,Kolkata,Mobile App
TXN00168,CUST0229,Swati Chowdhury,524.44,INR,Credit Card,2026-03-13 09:52:43,Success,,Regular Customer,0,Regular,,Food Delivery,Hyderabad,Mobile App
